多音字,测试文本
他在薄饼上抹了一层薄荷味的酱料。,他在薄饼上抹了一层薄荷味的酱料
他得第一名，得赶紧回家做饭。,他得第一名得赶紧回家做饭
老师正在教我们知识，他是一位受人尊敬的教育工作者。,老师正在教我们知识他是一位受人尊敬的教育工作者
他宁可自己吃苦，也不向困难低头，一直过着宁静的生活。,他宁可自己吃苦也不向困难低头一直过着宁静的生活
这匹牲畜的成长过程涉及很多畜牧知识。,这匹牲畜的成长过程涉及很多畜牧知识
我答应他今天去帮他答题。,我答应他今天去帮他答题
他弹了一首关于古弹弓历史的曲子。,他弹了一首关于古弹弓历史的曲子
他把钉子钉进墙里，这是一项需要钉实的工作。,他把钉子钉进墙里这是一项需要钉实的工作
首都都是朋友。,首都都是朋友
北斗星很亮，斗争精神不能少。,北斗星很亮斗争精神不能少
她在缝衣服，衣服上有一道细细的缝。,她在缝衣服衣服上有一道细细的缝
他屏住呼吸，躲在屏风后面。,他屏住呼吸躲在屏风后面
钥匙不见了，我着实大意了，着急地四处寻找。,钥匙不见了我着实大意了着急地四处寻找
他参加会议时，别人送了他人参。,他参加会议时别人送了他人参
这个恶人做了很多恶心的事，让人觉得恶心。,这个恶人做了很多恶心的事让人觉得恶心
他做事干净利落，总喜欢干活。,他做事干净利落总喜欢干活
这只燕子喜欢在燕山飞。,这只燕子喜欢在燕山飞
他累得直喘气，也不放弃这份累赘的工作。,他累得直喘气也不放弃这份累赘的工作
他号啕大哭，因为他的号码丢了。,他号啕大哭因为他的号码丢了
我觉得这件事很有趣，睡觉的时候还在想。,我觉得这件事很有趣睡觉的时候还在想
他提出问题时，手上还提着一桶水。,他提出问题时手上还提着一桶水
小鸟降落的姿势很优美，降伏了许多困难的挑战。,小鸟降落的姿势很优美降伏了许多困难的挑战
他乐于帮助别人弹奏古典音乐。,他乐于帮助别人弹奏古典音乐
他把树枝折断了，折腾了半天也没修好。,他把树枝折断了折腾了半天也没修好
他的头发长得很长了。,他的头发长得很长了
他还还过一笔债务。,他还还过一笔债务
她传授的很多经验都记在传记里。,她传授的很多经验都记在传记里
他哄小孩睡觉，却不小心弄出了哄堂大笑的声音。,他哄小孩睡觉却不小心弄出了哄堂大笑的声音
他昨天请假去买假发。,他昨天请假去买假发
他重新称了一下特别重的货物。,他重新称了一下特别重的货物
他背着书包，发现老师就在背后。,他背着书包发现老师就在背后
她得咽炎的时候，不敢咽口水。,她得咽炎的时候不敢咽口水
他盛情邀请我，还给我盛了一碗汤。,他盛情邀请我还给我盛了一碗汤
他行走在大街上，是个很有行业经验的人。,他行走在大街上是个很有行业经验的人
他把种子种在地里，希望每年有好的收种。,他把种子种在地里希望每年有好的收种
他和大家相处得很融洽，偶尔也会和面做馒头，打麻将时还喊和了。,他和大家相处得很融洽偶尔也会和面做馒头打麻将时还喊和了
他中间休息的时候没想到中奖了。,他中间休息的时候没想到中奖了
我在禁止吸烟的地方，禁不住笑了起来。,我在禁止吸烟的地方禁不住笑了起来
佛像很庄严，仿佛看到了希望。,佛像很庄严仿佛看到了希望
她披散着头发去散步。,她披散着头发去散步
他勒令不许给马勒上缰绳。,他勒令不许给马勒上缰绳
她旋转着身体，手里拿着一个旋风陀螺。,她旋转着身体手里拿着一个旋风陀螺
他在银行的行政部工作。,他在银行的行政部工作
他行走在路上，他是行家。,他行走在路上他是行家
他恶狠狠地盯着，十分厌恶这种行为。,他恶狠狠地盯着十分厌恶这种行为
他分外高兴地分发了礼物。,他分外高兴地分发了礼物
正月出生的小孩正在写作业。,正月出生的小孩正在写作业
他漂浮在水面上，这件衣服需要漂白一下。,他漂浮在水面上这件衣服需要漂白一下
他边吐痰，边吐槽这件事。,他边吐痰边吐槽这件事
那个卷发女生正在做卷子。,那个卷发女生正在做卷子
爷爷拿着扫帚，认真地扫地。,爷爷拿着扫帚认真地扫地
妈妈在厨房炸丸子，爸爸把炸弹模型放在了桌子上。,妈妈在厨房炸丸子爸爸把炸弹模型放在了桌子上
我们朝气蓬勃地朝着目标前进。,我们朝气蓬勃地朝着目标前进
他率领效率很高的团队一起工作。,他率领效率很高的团队一起工作
我用扇子扇风，感觉凉快多了。,我用扇子扇风感觉凉快多了
妈妈说不要穿着干净的衣服干脏活。,妈妈说不要穿着干净的衣服干脏活
他屏气凝神，躲在屏风后面观察情况。,他屏气凝神躲在屏风后面观察情况
我好奇地问他，他的爱好是什么。,我好奇地问他他的爱好是什么
天气暖和，外面和风拂面。,天气暖和外面和风拂面
据史书记载，在一些节日，人们都会载歌载舞。,据史书记载在一些节日人们都会载歌载舞
他每次出差差不多都要出点差错，回来还得交差。,他每次出差差不多都要出点差错回来还得交差
鱼拼命挣扎，鱼刺扎破了他的手，他只好随意包扎一下。,鱼拼命挣扎鱼刺扎破了他的手他只好随意包扎一下
他自己懒散惯了，却总是埋怨别人埋头工作。,他自己懒散惯了却总是埋怨别人埋头工作
看守大门的大爷在看电视。,看守大门的大爷在看电视
银行正在发行新的理财产品，相关行情受到很多人关注。,银行正在发行新的理财产品相关行情受到很多人关注
数学中的奇数规律很奇妙。,数学中的奇数规律很奇妙
把这些交给领导时，记得告知他供给一定要保障充足。,把这些交给领导时记得告知他供给一定要保障充足
小明在宿舍和室友聊了一宿有关星宿的知识。,小明在宿舍和室友聊了一宿有关星宿的知识
几个吹小号的小孩在号啕大哭。,几个吹小号的小孩在号啕大哭
西藏有着丰富的宝藏，当地博物馆还收藏了许多珍贵文物，其中就有大藏经。,西藏有着丰富的宝藏当地博物馆还收藏了许多珍贵文物其中就有大藏经
这辆卡车在经过关卡时，被检查出超载。,这辆卡车在经过关卡时被检查出超载
出现矛盾时，要先调查清楚情况，再进行调解。,出现矛盾时要先调查清楚情况再进行调解
在一个很坚硬的骨头上长了一个花骨朵。,在一个很坚硬的骨头上长了一个花骨朵
他们之间的友谊很深厚，从来没有间断过。,他们之间的友谊很深厚从来没有间断过
我不喜欢抽雪茄烟，但特别喜欢吃番茄。,我不喜欢抽雪茄烟但特别喜欢吃番茄
乌龟在龟裂的土地上爬。,乌龟在龟裂的土地上爬
今天召开的会计工作会议，一会儿就要结束了。,今天召开的会计工作会议一会儿就要结束了
敌人的恐吓根本吓不倒英勇的战士们。,敌人的恐吓根本吓不倒英勇的战士们
肥胖并不一定都是因为心宽体胖，缺乏锻炼也是重要原因。,肥胖并不一定都是因为心宽体胖缺乏锻炼也是重要原因
银行行长提出一个行之有效的解决方案。,银行行长提出一个行之有效的解决方案
做一个爱好广泛的好人吧。,做一个爱好广泛的好人吧
教务处正在处理学生们反映的问题。,教务处正在处理学生们反映的问题
他拿着扇子，却怎么也扇不来风。,他拿着扇子却怎么也扇不来风
你得把心得体会写得详细、具体些，这样才符合要求。,你得把心得体会写得详细具体些这样才符合要求
几个小朋友围在茶几旁玩耍。,几个小朋友围在茶几旁玩耍
考卷被风卷起来，飘落到了地上，他急忙去捡。,考卷被风卷起来飘落到了地上他急忙去捡
我们音乐老师姓乐，他乐于助人，深受同学们喜爱。,我们音乐老师姓乐他乐于助人深受同学们喜爱
胶水不粘了，书页根本粘不紧，这本书都快散架了。,胶水不粘了书页根本粘不紧这本书都快散架了
他兄弟俩耍猴的伎俩太简单，大家一眼就看穿了。,他兄弟俩耍猴的伎俩太简单大家一眼就看穿了
老师很重视这个问题，请你重说一遍你的想法。,老师很重视这个问题请你重说一遍你的想法
有空闲时间的时候，就应该好好读书学习，尽量少说空话。,有空闲时间的时候就应该好好读书学习尽量少说空话
小船漂泊在湖泊里，随着水波轻轻荡漾。,小船漂泊在湖泊里随着水波轻轻荡漾
他分发礼物的时候，看到大家格外高兴，他也分外开心。,他分发礼物的时候看到大家格外高兴他也分外开心
他拿着抹布，认真地抹去桌子上的污渍，可有些污渍怎么也抹不平。,他拿着抹布认真地抹去桌子上的污渍可有些污渍怎么也抹不平
他在着手准备明天的考试，心里却有些着急。,他在着手准备明天的考试心里却有些着急
他把旋转的陀螺放在桌上，又拿出一个旋风形状的玩具。,他把旋转的陀螺放在桌上又拿出一个旋风形状的玩具
他在蒙骗别人，去蒙混过关，因为他对蒙古族的习俗一无所知。,他在蒙骗别人去蒙混过关因为他对蒙古族的习俗一无所知
一个带着发夹的女孩用手夹着本书。,一个带着发夹的女孩用手夹着本书
他在泊船的码头附近看到了一个湖泊。,他在泊船的码头附近看到了一个湖泊
他的扁担挑着沉甸甸的货物，而那只扁舟在湖面上缓缓行驶。,他的扁担挑着沉甸甸的货物而那只扁舟在湖面上缓缓行驶
他在朴实的生活中，保持着朴姓家族的传统，对老家种的朴树也有着特殊感情。,他在朴实的生活中保持着朴姓家族的传统对老家种的朴树也有着特殊感情
他在省会城市工作，不断反省自己的人生规划，希望能有更好的发展。,他在省会城市工作不断反省自己的人生规划希望能有更好的发展
他在柏树林里散步时，想起柏林城市的历史故事。,他在柏树林里散步时想起柏林城市的历史故事
那个长相很有特点的人相信只要努力就能实现梦想。,那个长相很有特点的人相信只要努力就能实现梦想
他的个性很倔强，遇到困难也会强硬地坚持下去，绝不勉强自己妥协。,他的个性很倔强遇到困难也会强硬地坚持下去绝不勉强自己妥协
他在打更的夜里，想到未来他更需要在忙碌中寻找内心的宁静。,他在打更的夜里想到未来他更需要在忙碌中寻找内心的宁静
他在落叶缤纷的季节里，总是丢三落四，把重要的东西都落在了家里。,他在落叶缤纷的季节里总是丢三落四把重要的东西都落在了家里
他今天铺上了刚从店铺里买的床单。,他今天铺上了刚从店铺里买的床单
他在号召大家要呈现完美演出，而那几名小号手在演奏时，号啕大哭，原来是乐器出了问题。,他在号召大家要呈现完美演出而那几名小号手在演奏时号啕大哭原来是乐器出了问题
他应该积极应对老师布置的作业，努力解决问题。,他应该积极应对老师布置的作业努力解决问题
阿爸总教育我，不能学那些阿谀奉承的人。,阿爸总教育我不能学那些阿谀奉承的人
社区工作人员挨家挨户宣传政策，他却因拒绝配合而挨打。,社区工作人员挨家挨户宣传政策他却因拒绝配合而挨打
他扒开草丛寻找丢失的钥匙，竟然撞见一个扒手正在作案。,他扒开草丛寻找丢失的钥匙竟然撞见一个扒手正在作案
这里禁止吸烟，他禁不起诱惑犯了错。,这里禁止吸烟他禁不起诱惑犯了错
你要把握好这次机会，别像握着刀把儿似的犹豫不决。,你要把握好这次机会别像握着刀把儿似的犹豫不决
河蚌在河滩上晒太阳，而蚌埠的特产小吃让人回味无穷。,河蚌在河滩上晒太阳而蚌埠的特产小吃让人回味无穷
他卷起袖子，试卷做得很认真。,他卷起袖子试卷做得很认真
他背着背包去旅行，路上还不忘背诵英语单词。,他背着背包去旅行路上还不忘背诵英语单词
他奔跑着，准备投奔远方的亲戚。,他奔跑着准备投奔远方的亲戚
这个方法很方便，而且价格便宜，深受大家喜爱。,这个方法很方便而且价格便宜深受大家喜爱
他屏气凝神地看着屏幕，屏风后的动静让他警觉起来。,他屏气凝神地看着屏幕屏风后的动静让他警觉起来
他帮妈妈剥皮，还说这种剥削劳动力的行为是不对的。,他帮妈妈剥皮还说这种剥削劳动力的行为是不对的
他曾经说过，曾祖父是位了不起的医生。,他曾经说过曾祖父是位了不起的医生
刹那间，刹车声划破了夜空。,刹那间刹车声划破了夜空
战士们冲锋陷阵，冲着敌人的阵地发起猛攻。,战士们冲锋陷阵冲着敌人的阵地发起猛攻
重复做一件事，能增加它的重量，让人印象深刻。,重复做一件事能增加它的重量让人印象深刻
他处理问题的方式，到处都透着智慧。,他处理问题的方式到处都透着智慧
这个传说被写进了传记，流传千古。,这个传说被写进了传记流传千古
他的绰号很特别，有人绰起棍子想打他，被拦住了。,他的绰号很特别有人绰起棍子想打他被拦住了
他答应会好好回答这个问题，绝不敷衍。,他答应会好好回答这个问题绝不敷衍
大树倒下了，倒车的时候一定要小心避开。,大树倒下了倒车的时候一定要小心避开
更换设备能让效率更加提高，何乐而不为？,更换设备能让效率更加提高何乐而不为
他号叫着喊口号，情绪十分激动。,他号叫着喊口号情绪十分激动
真假难辨的假期安排，让人很困惑。,真假难辨的假期安排让人很困惑
他嚼碎食物，细细咀嚼其中的味道。,他嚼碎食物细细咀嚼其中的味道
有空的时候，他总喜欢望着空中的云朵发呆。,有空的时候他总喜欢望着空中的云朵发呆
他量了量尺寸，说这种量力而行的做法很明智。,他量了量尺寸说这种量力而行的做法很明智
你吃饭了吗？这种吗啡类药物要慎用。,你吃饭了吗这种吗啡类药物要慎用
他埋了种子，却埋怨土壤不够肥沃。,他埋了种子却埋怨土壤不够肥沃
他眯着眼看太阳，说这种眯糊的状态可不行。,他眯着眼看太阳说这种眯糊的状态可不行
她婀娜多姿，说娜姐的歌声很动听。,她婀娜多姿说娜姐的歌声很动听
蹊跷的是，这条蹊径很少有人走。,蹊跷的是这条蹊径很少有人走
