Sample Text,Expected Output
"Yeah,you are good",Yeah you are good
"Yes, I'm ok",Yes I'm ok
"So I don't know why they don't schedule, I don't know.",So I don't know why they don't schedule I don't know 
That really bothers me.,That really bothers me 
And like setting a time for a date.,And like setting a time for a date 
"If I were to get dressed and ready to go, and I'm sitting and waiting.",If I were to get dressed and ready to go and I'm sitting and waiting 
"And you're supposed to get me at eight, and you're not there, and it's eight ten, drives me nuts.",And you're supposed to get me at eight and you're not there and it's eight ten drives me nuts 
I'll not even wanna go.,I'll not even wanna go 
"I get that. Okay, I mean, you know, it's a big difference between where I lived before and where I live now.",I get that Okay I mean you know it's a big difference between where I lived before and where I live now
"I'm more of the kind of person that I, I just kind of go with it.",I'm more of the kind of person that I I just kind of go with it 
"So if somebody shows up late, you know, it doesn't bother me.",So if somebody shows up late you know it doesn't bother me 
It doesn't bother me if other people are late and not punctual; it bothers me if I'm late.,It doesn't bother me if other people are late and not punctual it bothers me if I'm late 
"So if I'm throwing the events with party or whatever it is, and someone shows up late, it's not a big deal.",So if I'm throwing the events with party or whatever it is and someone shows up late it's not a big deal 
"Well, can you tell me more about you living in the dorm",Well can you tell me more about you living in the dorm
It's like my pet peeve.,It's like my pet peeve 
Really? Do you have any pets?,Really Do you have any pets
"Yes, it is, and people canceled plans.",Yes it is and people canceled plans 
"Oh, I see the cancelling.",Oh I see the cancelling 
I guess maybe a little more depends on how much I've put in to whatever is going on.,I guess maybe a little more depends on how much I've put in to whatever is going on 
"But as far as like, if I'm throwing a birthday party, and people show up thirty minutes late, like not a big deal at all.",But as far as like if I'm throwing a birthday party and people show up thirty minutes late like not a big deal at all 
"Oh no, I prepare for people to be late.",Oh no I prepare for people to be late 
"So I go ahead and have everything set up, but not completely ready.",So I go ahead and have everything set up but not completely ready 
"That way, after they show up, I did the last little touches here and there, and then everything is good.",That way after they show up I did the last little touches here and there and then everything is good 
Ok. Please stop talking for now,Ok Please stop talking for now
"You know, I don't, coz I don't want the food to be cold or this that or the other.",You know I don't coz I don't want the food to be cold or this that or the other 
"It's like, I cook Thanksgiving every year, and my dad is late every single year.",It's like I cook Thanksgiving every year and my dad is late every single year 
Drives me up the wall.,Drives me up the wall 
I don't like it.,I don't like it
I guess everybody's different when it comes to punctuality and being timely to events.,I guess everybody's different when it comes to punctuality and being timely to events 
"Yeah, I'm all about punctuality.",Yeah I'm all about punctuality 
"Yeah, I guess I am too.",Yeah I guess I am too 
